features,data type,mean,std,min,max,range,skewness,kurtosis,missing %
price,float64,4.626685772897309,3.7131481082825704,0.03,72.99,72.96,4.085297756341783,34.01299449820257,0.0
price percal,float64,0.028957677519609027,0.3283803130727838,1.26e-05,15.0716142,15.071601600000001,26.034628047069088,855.6920867037154,0.0
package_weight,float64,462.753261044956,2248.1952362936295,1.36,272155.422,272154.06200000003,108.16491959822139,12910.696538658662,0.0
Protein,float64,8.907084150246773,9.137475733430742,0.0,294.642857,294.642857,4.741146369521866,86.06905626137748,0.0
Total Fat,float64,13.265031949131775,14.792925347859383,0.0,266.666667,266.666667,2.345654243099289,15.732811530720994,0.0
Carbohydrate,float64,33.30676075545817,31.269060378675128,0.0,880.952381,880.952381,4.494956110379153,87.86134941127649,0.0
"Sugars, total",float64,12.417840389202365,17.208939523457328,0.0,178.947368,178.947368,2.0384175458480036,5.473348022496818,0.0
"Fiber, total dietary",float64,3.2084275351942804,5.061514671221732,0.0,125.0,125.0,4.794633661554691,50.17849394267243,0.0
Calcium,float64,0.09814543031374443,0.21151095116790827,0.0,9.75,9.75,12.120397361325098,362.75534730464096,0.0
Iron,float64,0.0019722353656329186,0.0053915555176647515,-0.0002116,0.36,0.36021159999999997,32.35049530579638,1696.7957587050228,0.0
Sodium,float64,1.1591206632657656,79.45720802528695,0.0,10169.999999999998,10169.999999999998,126.59545905616311,16190.251875979322,0.0
Cholesterol,float64,0.03382075931941596,1.314657784263989,0.0,127.45098,127.45098,87.47002384722998,7882.4247819338,0.0
"Fatty acids, total saturated",float64,4.627137130542416,6.5851289379420415,0.0,100.0,100.0,2.844291949447522,15.652890723607126,0.0
