f_FPro_class,price,price percal,package_weight,Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Cholesterol,"Fatty acids, total saturated",label
0,1.88,0.01342857,340.194,1.17579969,0.0,12.228316789,5.87899845,2.35159938,0.03057079,0.00042329,0.0641986632,0.0,0.0,1
3,3.49,0.01057513,163.009625,9.81595092,15.3374233,4.785276072,2.45398773,0.61349693,0.0797546,0.00066258,0.5153374275,0.03067485,4.29447853,0
3,1.97,0.00151614,354.36875,6.66666667,0.0,98.333333294,30.0,0.0,0.0,0.0036,0.76,0.0,0.0,0
3,1.99,0.01105556,124.7378,8.81849768,7.21513447,12.297795862,7.21513447,0.0,0.10421861,0.0,0.044894164,0.02004204,4.00840804,0
3,2.99,0.00187501,637.86375,0.0,3.125,41.71875,3.125,3.125,0.071875,0.003125,0.421875,0.0,0.0,0
3,2.99,0.00179075,345.8639,3.44827586,24.137931,72.4137931,44.8275862,3.44827586,0.0,0.00248276,0.173793102,0.0,6.89655172,0
3,0.98,0.00146992,87.88345,13.7931035,27.5862069,37.2413793,75.862069,6.89655172,0.17931035,0.00248276,0.0806896584,0.01724138,15.5172414,0
3,5.98,0.00272462,1360.776,8.06451613,11.2903226,6.774193552,6.4516129,0.0,0.31451613,0.0,0.09677419,0.0483871,7.25806452,0
3,4.49,0.00456528,1559.2225,7.69230769,7.69230769,54.15384612,0.0,1.53846154,0.22,0.00304615,0.977846156,0.0,1.53846154,0
3,3.99,0.00309209,340.194,0.0,5.17241379,51.72413795999999,58.6206897,0.0,0.0,0.0,0.0951724107,0.0,3.44827586,0
3,1.38,0.00090402,566.99,7.69230769,3.84615385,59.230769290000005,7.69230769,0.0,0.0,0.00276923,0.605769234,0.0,0.0,0
3,1.78,0.03139385,340.194,0.0,0.0,2.9666666637,0.0,0.0,0.0,0.0,0.510000003,0.0,0.0,0
2,3.48,0.00520772,170.097,25.0,32.1428571,2.142857142,0.0,0.0,0.69642857,0.00128571,0.5157142868,0.10714286,21.4285714,1
0,9.99,6.77887651,49.89512,0.10295359,0.00421941,0.822784807,0.0,0.0,0.00118987,3.71e-05,0.000281016,0.0,0.0,1
3,5.99,0.00855226,283.495,8.23529412,10.5882353,33.64705877,0.0,2.35294118,0.22941177,0.00129412,0.4918823556,0.04705882,2.94117647,0
3,5.29,0.00539796,453.59237,11.0231221,7.05479815,30.697190476,0.44092488,1.32277465,0.17196071,0.00185189,1.179033142,0.04850174,4.40924884,0
3,3.49,0.00658593,153.0873,7.69230769,0.0,73.84615384,38.4615385,6.46153846,0.0,0.01107692,0.4092307704,0.0,0.0,0
2,6.79,0.01543182,113.398,28.2191926,28.2191926,0.0,0.0,0.0,0.0141096,0.0,1.8335420341,0.08818498,10.5821972,1
3,3.69,0.00810989,99.22325,14.1095963,28.2191926,39.5068696,3.52739907,10.5821972,0.11287677,0.00388014,1.08643892,0.0,3.52739907,0
3,1.74,0.00477375,68.0388,7.14285714,28.5714286,172.78571378,3.57142857,3.57142857,0.0,0.00128571,0.8500000039999999,0.0,3.57142857,0
3,2.04,0.00118614,198.4465,6.66666667,30.0,56.366666637,13.3333333,6.66666667,0.08666667,0.0036,0.1264999976999999,0.0,0.0,0
0,4.99,0.04158333,150.25235,11.3142989,1.66386749,5.32437596,1.99664098,0.0,0.12978166,0.0,0.0428279553,0.00665547,0.99832049,1
3,1.69,0.01205116,150.25235,4.0,2.33333333,8.4,10.6666667,1.33333333,0.13,0.00048,0.048,0.0,0.0,0
3,3.97,0.00741076,388.38815,20.6896552,2.29885058,9.4942528718,2.29885058,5.74712644,0.08965517,0.00310345,0.441609198,0.0,0.0,0
3,2.39,0.00843048,368.5435,10.7692308,9.23076923,54.15384612,1.53846154,1.53846154,0.2,0.00276923,0.52307692,0.0,1.53846154,0
3,5.39,0.02340692,269.32025,2.60223048,2.60223048,16.91449812,0.37174721,0.74349442,0.02973978,0.0004461,0.1513382934,0.00743494,1.67286245,0
3,4.38,0.00345211,453.592,3.4965035,11.1888112,32.8671329,18.1818182,0.6993007,0.09090909,0.00188811,0.0991258695,0.05244755,6.99300699,0
3,9.26,0.00212817,1681.12535,7.05882353,9.41176471,24.70588239,0.0,1.17647059,0.03058824,0.00211765,0.402352938,0.00588235,2.35294118,0
0,1.98,0.0056747,907.184,1.28205128,0.0,9.871794867000002,6.41025641,2.56410256,0.03333333,0.00046154,0.080769234,0.0,0.0,1
3,2.34,0.0014674,566.99,9.375,4.6875,59.0,3.125,6.25,0.1625,0.003375,0.365625,0.0,0.0,0
3,0.99,0.00126986,155.92225,7.14285714,28.5714286,42.49999999,3.57142857,3.57142857,0.03571429,0.00071429,0.7125000015,0.0,7.14285714,0
3,0.99,0.0043525,42.52425,6.97674419,32.5581395,58.837209310000006,2.3255814,2.3255814,0.06976744,0.00162791,0.3711627948,0.0,3.48837209,0
3,4.29,0.00322828,283.495,6.25,28.125,81.25,53.125,6.25,0.03125,0.00875,0.0,0.015625,18.75,0
0,3.99,0.00562973,198.4465,14.2857143,7.14285714,83.57142859,7.14285714,7.14285714,0.02142857,0.03571429,0.0,0.0,0.0,1
