features,data type,mean,std,min,max,range,skewness,kurtosis,missing %
price,float64,4.635471607314726,3.72458414578737,0.03,72.99,72.96,4.071424930078984,33.66477261236921,0.0
price percal,float64,0.02892673510526949,0.327889159420587,1.26e-05,15.0716142,15.071601600000001,26.07341156555006,858.2592438067813,0.0
package_weight,float64,462.75100992138476,2244.905209794318,1.36,272155.422,272154.06200000003,108.31440290803951,12947.481223558792,0.0
Protein,float64,8.912387091083373,9.137883729233506,0.0,294.642857,294.642857,4.728925844804332,85.78689612419133,0.0
Total Fat,float64,13.249121735738692,14.78363615454771,0.0,266.666667,266.666667,2.3465246118641256,15.736937539835477,0.0
Carbohydrate,float64,33.28811964036753,31.270679900527753,0.0,880.952381,880.952381,4.484079389846568,87.58706694404061,0.0
"Sugars, total",float64,12.412205872802119,17.202521490064,0.0,178.947368,178.947368,2.03800985767385,5.471134130548837,0.04812319538017325
"Fiber, total dietary",float64,3.2057780498495423,5.058362783171395,0.0,125.0,125.0,4.794415073313963,50.19082845596237,0.04812319538017325
Calcium,float64,0.09817669185153995,0.21144577576102397,0.0,9.75,9.75,12.104392869253902,362.14814938619736,0.0
Iron,float64,0.0019710241355871028,0.005384577844057723,-0.0002116,0.36,0.36021159999999997,32.37961520724205,1700.5120025787642,0.0
Sodium,float64,1.156505302392968,79.33763579872883,0.0,10169.999999999998,10169.999999999998,126.7862546307688,16239.091582385416,0.0
Cholesterol,float64,0.03380586981412416,1.3126812268747863,0.0,127.45098,127.45098,87.60145327595414,7906.15954691184,0.0
"Fatty acids, total saturated",float64,4.622028307460882,6.580038376244895,0.0,100.0,100.0,2.845799351392578,15.67273910277562,0.04812319538017325
